2026-05-13 20:48:45,022 | INFO    | jobintel | lever[attentive] 0 jobs
2026-05-13 20:48:46,462 | INFO    | jobintel | ashby[openai] 665 jobs
2026-05-13 20:48:46,555 | WARNING | jobintel | fetch_json failed for https://api.lever.co/v0/postings/benchling?mode=json: RetryError[<Future at 0x10c39edc0 state=finished raised HTTPStatusError>]
2026-05-13 20:48:46,555 | WARNING | jobintel | lever[benchling] invalid payload
2026-05-13 20:48:46,913 | WARNING | jobintel | fetch_json failed for https://api.lever.co/v0/postings/ramp?mode=json: RetryError[<Future at 0x10c39e1c0 state=finished raised HTTPStatusError>]
2026-05-13 20:48:46,914 | WARNING | jobintel | lever[ramp] invalid payload
2026-05-13 20:48:46,915 | WARNING | jobintel | lever[palantir] failed: 'list' object has no attribute 'strip'
2026-05-13 20:48:47,628 | INFO    | jobintel | ashby[linear] 23 jobs
2026-05-13 20:48:47,741 | INFO    | jobintel | remotive 38 jobs
2026-05-13 20:48:48,293 | WARNING | jobintel | fetch_json failed for https://boards-api.greenhouse.io/v1/boards/doordash/jobs?content=true: RetryError[<Future at 0x10c460ac0 state=finished raised HTTPStatusError>]
2026-05-13 20:48:48,293 | WARNING | jobintel | greenhouse[doordash] invalid payload
2026-05-13 20:48:48,511 | INFO    | jobintel | ashby[posthog] 15 jobs
2026-05-13 20:48:48,571 | WARNING | jobintel | fetch_json failed for https://arbeitnow.com/api/job-board-api: RetryError[<Future at 0x10cbb6430 state=finished raised HTTPStatusError>]
2026-05-13 20:48:48,571 | WARNING | jobintel | arbeitnow invalid payload
2026-05-13 20:48:48,930 | WARNING | jobintel | fetch_json failed for https://boards-api.greenhouse.io/v1/boards/plaid/jobs?content=true: RetryError[<Future at 0x10c38e550 state=finished raised HTTPStatusError>]
2026-05-13 20:48:48,930 | WARNING | jobintel | greenhouse[plaid] invalid payload
2026-05-13 20:48:49,136 | WARNING | jobintel | fetch_json failed for https://boards-api.greenhouse.io/v1/boards/coinbase/jobs?content=true: RetryError[<Future at 0x10c37b340 state=finished raised HTTPStatusError>]
2026-05-13 20:48:49,136 | WARNING | jobintel | greenhouse[coinbase] invalid payload
2026-05-13 20:48:50,681 | INFO    | jobintel | ashby[vanta] 142 jobs
2026-05-13 20:48:52,029 | INFO    | jobintel | ashby[ramp] 113 jobs
2026-05-13 20:48:52,094 | INFO    | jobintel | Total fetched (pre-dedup): 2212
2026-05-13 20:48:52,241 | INFO    | jobintel | Total after dedup: 2212
